word,weight
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
a,0.625
able,-0.625
about,-0.75
accept,-0.625
across,0.625
afraid,1
after,1
again,0.25
against,1
age,0.625
ago,0.625
ah,-0.625
alive,0.625
all,1
almost,0.25
alone,-0.25
along,0.625
already,-1
also,-1
although,0.25
always,-0.25
am,-1
an,0.625
and,1
angry,0.625
another,1
any,-0.625
anybody,0.25
anymore,1
anyone,-0.625
anything,-0.625
anyway,0.25
apartment,0.625
appears,-1
are,-1
arm,1
around,1
as,-0.625
ashamed,0.25
ask,-1
asked,0.25
asking,0.25
asleep,0.25
at,1
aware,-0.25
away,0.625
awful,0.25
baby,-0.25
back,1
bad,-1
bathroom,0.625
be,-0.25
beach,1
because,0.25
become,-1
bed,0.25
bedroom,0.625
been,0.25
before,-1
began,-1
beginning,-0.625
behind,-0.625
being,-0.25
believe,0.25
best,1
better,0.25
between,-1
beyond,-1
big,1
birthday,0.625
bit,-1
body,0.625
book,0.25
books,0.25
born,1
both,1
bottle,0.625
boy,0.625
boys,0.25
break,-0.75
bring,0.25
broke,0.625
brother,1
brought,0.25
business,-0.25
buy,1
by,0.625
call,0.25
called,0.25
came,1
can,-1
car,0.625
care,-0.375
case,-0.625
caught,0.25
certain,-0.25
certainly,0.625
chair,1
change,-1
child,0.625
children,-0.625
choice,0.25
church,-0.25
city,0.625
class,1
clear,-1
clearly,0.25
close,-0.25
clothes,1
come,1
coming,-0.625
completely,-1
concerned,-0.25
connected,-0.75
content,-0.625
continue,-0.625
control,-0.625
corner,0.625
couch,-0.25
could,-1
couldn,0.25
country,-0.625
couple,0.25
course,-1
covered,1
cry,0.625
crying,-0.625
cut,1
d,-0.25
daughter,-0.625
day,-0.25
daydreaming,0.25
days,-0.25
dead,0.25
deal,-1
death,-1
decide,-0.25
decided,-1
decision,-0.75
deep,-1
definitely,0.25
did,-0.625
didn,-0.625
died,0.625
difficult,-0.75
dinner,-0.625
distance,0.625
do,-0.25
doctor,1
does,-1
doesn,-0.625
doing,0.25
don,-1
done,-0.25
door,-0.625
down,1
dress,1
dressed,0.25
during,0.25
earlier,1
earliest,1
early,1
eat,1
eight,1
either,-0.25
else,-0.625
embarrassed,0.625
emotion,-0.75
emotional,-1
end,-1
enjoy,-0.625
enjoying,-0.625
enough,-0.625
escape,0.25
especially,-1
even,-0.25
evening,-0.25
eventually,-0.625
ever,-0.625
every,0.625
everybody,-1
everyone,0.625
everything,1
exactly,-0.625
excited,1
excitement,1
exhausted,0.25
experience,0.625
expression,0.625
eyes,-0.625
face,0.625
fact,-0.375
fall,1
family,-1
fantasies,-0.25
fantasy,-0.25
far,0.625
farm,0.25
father,-0.25
fear,0.25
feel,-1
feeling,-0.875
feelings,-0.375
fell,0.25
felt,1
few,0.625
fight,-1
finally,1
find,0.25
finished,-0.25
fire,1
first,-1
five,1
floor,0.25
for,-0.375
foreground,0.625
forget,0.625
forgot,1
forth,0.25
found,0.25
four,1
friend,1
friends,-0.25
from,0.625
front,1
fun,0.625
funny,0.25
future,-0.75
gave,0.625
get,0.25
gets,1
getting,-0.625
girl,-0.625
girls,-1
give,-0.25
giving,-0.25
go,0.25
god,-1
goes,-1
going,-0.25
gone,0.625
good,-1
got,0.25
gotten,-1
grade,1
grandmother,1
great,0.25
grief,-0.625
ground,-0.375
group,0.25
guess,-0.625
guilt,1
guilty,-1
gun,0.25
had,1
hadn,0.25
hair,1
half,1
hand,1
handle,-1
happen,1
happened,0.625
happening,-0.625
happy,-1
hard,-1
has,-1
haven,-0.625
having,-1
he,0.625
head,0.625
hear,-0.625
heard,-0.625
help,1
her,1
here,-1
herself,0.25
hiding,-0.625
high,0.625
him,0.625
himself,1
his,0.625
hit,1
holding,1
home,0.25
horse,1
hospital,0.625
house,1
how,-1
husband,-0.25
i,-0.75
idea,1
if,0.25
imagine,-0.25
immediately,-0.625
important,0.25
in,1
incident,0.625
inside,-1
instead,1
interested,-0.25
interesting,0.25
into,0.875
is,-1
isn,-0.25
it,-0.875
job,-0.625
just,-0.625
keep,-1
kept,0.625
kid,0.25
kids,-0.25
kind,-0.625
kindergarten,1
kitchen,0.625
knew,0.875
know,-0.625
knowd,-0.625
knowing,-0.625
knows,1
lady,0.25
last,-1
late,-0.25
later,0.25
leaning,1
least,-0.25
leave,-0.625
leaving,-1
led,-0.625
left,0.625
let,0.625
letting,0.625
lie,1
lied,0.25
like,1
liked,0.625
likev,-0.625
little,1
live,1
lived,0.625
lives,0.625
living,0.625
ll,-0.25
lonely,-0.25
long,0.625
look,-0.25
looked,0.625
looking,-0.625
looks,0.625
loss,-0.25
lost,-0.25
lot,1
lots,-0.25
love,-0.25
loved,1
lunch,1
lying,-0.625
m,-1
mad,0.25
made,0.625
maid,0.625
